#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1265: Lower Kachemak Creek, AK
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Snow Depth                  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lower Kachemak Creek (1265) 
# Alaska  SNOTEL Site - 1960 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Mar 12, 2026, 11:31:54 AM GMT-08:00
#
Date,Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Accumulation (in) Start of Day Values,Snow Depth (in) Start of Day Values,Snow Water Equivalent (in) Start of Day Values
2016-09-14,46.0,49.1,42.3,73.1,0,
2016-09-15,48.6,54.7,44.2,73.5,0,
2016-09-16,45.5,48.6,42.6,73.8,0,
2016-09-17,43.2,44.8,41.0,74.5,0,
2016-09-18,44.4,51.3,38.1,74.8,0,
2016-09-19,46.4,56.8,40.3,74.8,0,
2016-09-20,45.0,47.7,41.9,74.8,0,
2016-09-21,46.9,52.5,40.6,77.1,0,
2016-09-22,39.9,48.0,35.8,79.1,0,
2016-09-23,42.1,47.1,37.6,80.3,0,
2016-09-24,41.4,46.9,38.3,80.7,0,
2016-09-25,40.1,46.4,35.8,80.7,0,
2016-09-26,37.4,44.8,33.1,80.7,0,
2016-09-27,39.2,47.8,33.1,80.7,0,
2016-09-28,41.7,47.1,36.7,80.7,0,
2016-09-29,44.6,50.9,38.3,80.7,0,
2016-09-30,47.7,57.2,37.4,80.7,0,
2016-10-01,42.1,45.3,39.6,0.0,0,
2016-10-02,42.6,46.4,39.0,0.2,0,
2016-10-03,42.6,50.4,38.3,0.2,0,
2016-10-04,42.4,49.3,36.3,0.2,0,
2016-10-05,42.3,51.8,36.7,0.2,0,
2016-10-06,41.4,49.1,36.7,0.2,0,
2016-10-07,40.5,49.6,35.6,0.2,0,
2016-10-08,40.3,43.9,34.7,0.2,0,
2016-10-09,42.1,44.4,40.3,0.2,0,
2016-10-10,42.1,45.7,39.7,0.3,0,
2016-10-11,42.4,44.6,40.3,0.3,0,
2016-10-12,44.1,46.4,41.7,0.5,0,
2016-10-13,46.8,53.6,42.4,0.8,0,
2016-10-14,43.3,49.3,36.7,0.8,1,
2016-10-15,37.0,45.5,28.9,0.8,1,
2016-10-16,27.1,31.8,23.4,0.8,1,
2016-10-17,25.0,30.4,20.3,0.9,3,
2016-10-18,34.9,40.1,28.4,1.7,7,
2016-10-19,40.5,45.3,36.9,2.2,3,
2016-10-20,37.6,43.7,34.3,2.2,0,
2016-10-21,29.1,36.0,25.7,2.2,0,
2016-10-22,28.8,34.9,25.0,2.2,1,
2016-10-23,31.8,39.6,24.8,2.2,1,
2016-10-24,35.6,41.9,29.5,2.2,1,
2016-10-25,40.6,48.7,32.4,2.2,1,
2016-10-26,37.8,39.6,36.0,2.2,1,
2016-10-27,40.3,45.5,36.7,2.2,1,
2016-10-28,41.7,45.3,38.5,2.2,1,
2016-10-29,41.7,42.8,40.6,2.3,1,
2016-10-30,40.5,42.1,37.2,2.5,0,
2016-10-31,38.5,40.5,34.5,3.3,1,
2016-11-01,37.0,40.1,32.7,5.5,1,
2016-11-02,34.3,36.0,31.8,8.4,1,
2016-11-03,31.6,34.5,28.6,9.0,2,
2016-11-04,30.9,36.7,27.1,9.0,2,
2016-11-05,30.7,37.9,27.0,9.0,2,
2016-11-06,31.3,36.0,26.4,9.0,2,
2016-11-07,30.2,38.3,27.0,9.2,3,
2016-11-08,39.2,42.6,35.6,9.5,5,
2016-11-09,39.6,42.8,36.0,9.6,4,
2016-11-10,34.9,40.3,29.8,10.2,1,
2016-11-11,37.6,40.5,34.3,11.1,5,
2016-11-12,35.8,39.4,31.8,11.3,1,
2016-11-13,37.6,41.9,32.5,11.9,1,
2016-11-14,32.9,37.0,30.2,12.3,1,
2016-11-15,30.7,36.0,25.5,12.8,5,
2016-11-16,24.8,29.8,21.2,13.0,5,
2016-11-17,21.4,27.3,15.6,13.0,5,
2016-11-18,26.4,28.9,25.0,13.1,4,
2016-11-19,23.2,28.8,19.0,13.7,13,
2016-11-20,29.1,35.6,21.6,13.7,11,
2016-11-21,33.1,36.3,30.2,13.8,12,
2016-11-22,34.7,36.7,30.0,14.3,12,
2016-11-23,34.3,39.6,27.9,14.3,11,
2016-11-24,27.7,32.0,22.6,14.3,11,
2016-11-25,25.3,30.4,18.7,14.3,11,
2016-11-26,26.8,34.9,14.9,14.3,11,
2016-11-27,22.6,29.1,15.3,14.4,11,
2016-11-28,17.4,23.2,13.8,14.4,11,
2016-11-29,14.0,24.4,6.1,14.4,11,
2016-11-30,25.3,34.7,12.9,14.4,11,
2016-12-01,28.4,32.0,22.6,14.6,10,
2016-12-02,18.7,25.0,11.3,14.9,13,
2016-12-03,9.1,13.8,4.8,14.9,10,
2016-12-04,4.6,9.1,1.6,14.9,9,
2016-12-05,21.9,27.9,6.4,14.9,9,
2016-12-06,23.2,29.7,15.1,15.2,9,
2016-12-07,22.3,30.2,15.3,15.2,9,
2016-12-08,28.9,32.9,25.2,15.5,13,
2016-12-09,30.0,35.2,18.3,15.5,13,
2016-12-10,23.4,29.1,16.2,15.5,13,
2016-12-11,25.0,29.8,19.0,15.5,11,
2016-12-12,23.2,27.3,19.0,15.5,12,
2016-12-13,28.6,32.9,23.0,15.5,12,
2016-12-14,30.6,32.7,27.3,15.5,12,
2016-12-15,31.3,33.8,26.4,15.5,12,
2016-12-16,33.1,37.8,30.6,15.6,12,
2016-12-17,28.6,34.7,23.9,15.9,13,
2016-12-18,28.4,35.1,22.8,16.0,14,
2016-12-19,27.3,30.9,22.3,16.1,13,
2016-12-20,27.7,30.7,25.3,16.2,13,
2016-12-21,25.7,30.9,17.4,16.2,13,
2016-12-22,16.5,24.4,12.2,16.5,17,
2016-12-23,22.5,28.4,18.0,16.5,15,
2016-12-24,28.9,32.2,24.8,16.5,15,
2016-12-25,32.2,34.7,31.3,17.0,12,
2016-12-26,30.2,33.3,27.1,18.2,15,
2016-12-27,26.4,29.8,24.4,18.2,16,
2016-12-28,20.8,28.0,15.4,18.2,16,
2016-12-29,27.3,37.6,14.9,18.2,13,
2016-12-30,28.0,34.9,25.0,18.4,13,
2016-12-31,33.8,41.7,26.2,18.4,13,
2017-01-01,39.9,44.2,34.2,18.4,13,
2017-01-02,38.8,44.4,32.7,18.4,13,
2017-01-03,46.0,51.3,32.9,18.4,13,
2017-01-04,34.5,45.5,27.7,18.4,13,
2017-01-05,28.0,33.6,22.3,18.4,12,
2017-01-06,18.7,32.5,10.8,18.4,12,
2017-01-07,20.3,28.8,13.3,18.4,12,
2017-01-08,30.7,37.2,25.2,18.4,12,
2017-01-09,35.2,43.5,28.8,18.4,12,
2017-01-10,33.1,39.7,25.9,18.4,12,
2017-01-11,23.2,30.4,16.9,18.4,12,
2017-01-12,23.4,27.7,18.3,18.4,12,
2017-01-13,26.2,34.2,18.0,18.4,12,
2017-01-14,15.3,22.1,7.9,18.4,12,
2017-01-15,9.3,19.8,3.9,18.5,13,
2017-01-16,5.9,12.4,1.8,18.5,13,
2017-01-17,1.8,6.3,-1.3,18.5,13,
2017-01-18,2.7,12.0,-4.2,18.5,13,
2017-01-19,14.5,21.7,4.5,18.5,13,
2017-01-20,23.7,27.0,17.8,18.6,13,
2017-01-21,15.8,22.8,11.8,19.4,22,
2017-01-22,13.5,21.7,7.2,19.7,22,
2017-01-23,26.6,34.9,20.8,19.7,22,
2017-01-24,31.3,34.7,30.0,20.3,13,
2017-01-25,32.0,33.1,30.2,21.2,20,
2017-01-26,31.8,34.5,29.3,21.7,13,
2017-01-27,29.3,32.9,22.5,22.8,13,
2017-01-28,19.9,23.2,18.7,23.4,13,
2017-01-29,25.2,31.3,20.7,23.4,13,
2017-01-30,29.3,33.1,25.3,23.6,13,
2017-01-31,32.0,33.6,30.2,23.8,13,
2017-02-01,30.6,36.7,25.2,24.2,13,
2017-02-02,27.9,34.7,22.3,24.2,15,
2017-02-03,32.0,37.0,26.8,24.2,14,
2017-02-04,39.6,47.8,30.0,24.2,14,
2017-02-05,33.8,40.6,26.4,24.2,14,
2017-02-06,29.5,35.2,26.1,24.2,14,
2017-02-07,27.1,32.5,24.1,24.2,14,
2017-02-08,23.0,25.3,18.7,24.2,14,
2017-02-09,15.8,24.1,10.4,24.2,14,
2017-02-10,6.8,12.4,2.8,24.3,14,
2017-02-11,5.2,9.7,1.0,24.3,14,
2017-02-12,20.3,36.1,4.8,24.3,14,
2017-02-13,34.9,40.6,31.6,24.6,13,
2017-02-14,32.7,37.6,26.4,24.8,13,
2017-02-15,25.5,28.6,21.2,25.1,14,
2017-02-16,27.9,31.8,23.5,25.7,13,
2017-02-17,25.9,32.7,22.6,26.2,13,
2017-02-18,25.5,30.2,21.4,26.8,15,
2017-02-19,15.1,22.6,7.7,26.9,16,
2017-02-20,7.9,11.5,4.1,26.9,13,
2017-02-21,12.4,20.5,3.9,26.9,13,
2017-02-22,26.1,32.2,17.4,26.9,13,
2017-02-23,31.5,36.0,27.0,27.1,15,
2017-02-24,30.6,39.9,25.3,27.1,15,
2017-02-25,29.3,33.1,26.1,27.1,13,
2017-02-26,29.8,34.2,27.7,27.1,13,
2017-02-27,23.9,30.6,12.6,27.1,13,
2017-02-28,10.9,14.2,4.3,27.1,13,
2017-03-01,5.4,9.7,1.2,27.1,13,
2017-03-02,9.5,15.8,2.1,27.1,13,
2017-03-03,10.8,16.3,4.5,27.1,13,
2017-03-04,16.0,22.5,9.9,27.1,13,
2017-03-05,12.2,19.8,5.7,27.1,13,
2017-03-06,6.1,13.1,1.4,27.1,12,
2017-03-07,8.8,18.0,3.6,27.1,12,
2017-03-08,14.4,21.9,6.8,27.1,12,
2017-03-09,13.3,22.1,7.0,27.1,12,
2017-03-10,18.0,27.0,10.9,27.1,12,
2017-03-11,20.1,25.2,14.9,27.1,12,
2017-03-12,17.8,25.2,12.7,27.1,12,
2017-03-13,16.7,25.3,10.8,27.1,12,
2017-03-14,12.0,16.7,9.0,27.1,12,
2017-03-15,7.9,15.3,1.2,27.1,12,
2017-03-16,9.0,16.7,2.5,27.1,12,
2017-03-17,11.1,17.6,7.9,27.1,12,
2017-03-18,12.0,21.2,6.4,27.1,12,
2017-03-19,13.5,23.4,6.3,27.1,12,
2017-03-20,19.6,30.2,13.1,27.1,12,
2017-03-21,19.0,25.2,14.7,27.1,12,
2017-03-22,18.7,25.2,13.3,27.1,12,
2017-03-23,19.6,27.0,12.6,27.1,12,
2017-03-24,17.6,24.4,13.6,27.1,12,
2017-03-25,18.7,26.1,12.6,27.1,12,
2017-03-26,23.4,33.8,16.9,27.1,12,
2017-03-27,23.5,31.6,18.3,27.1,12,
2017-03-28,25.3,35.6,20.7,27.1,12,
2017-03-29,21.7,25.3,16.7,27.1,12,
2017-03-30,26.1,33.1,19.9,27.1,12,
2017-03-31,34.2,36.7,32.0,27.4,12,
2017-04-01,32.9,35.6,29.5,27.5,12,
2017-04-02,29.3,38.3,25.9,27.5,12,
2017-04-03,31.3,34.3,26.2,27.5,11,
2017-04-04,33.6,37.4,31.5,27.6,11,
2017-04-05,35.8,42.6,31.8,27.7,12,
2017-04-06,31.8,34.5,28.8,28.0,11,
2017-04-07,31.6,36.9,28.0,28.4,11,
2017-04-08,32.2,37.9,29.3,28.6,11,
2017-04-09,29.8,33.1,27.3,28.6,11,
2017-04-10,32.5,45.5,26.8,28.6,11,
2017-04-11,35.4,45.5,29.8,28.6,11,
2017-04-12,37.8,46.8,31.8,28.6,10,
2017-04-13,38.5,44.8,33.8,28.6,10,
2017-04-14,40.6,47.1,34.2,28.6,9,
2017-04-15,37.8,46.9,29.7,28.6,7,
2017-04-16,30.7,37.2,27.7,28.6,6,
2017-04-17,31.5,37.0,25.5,28.6,6,
2017-04-18,34.3,42.6,27.9,28.6,5,
2017-04-19,35.8,42.6,31.5,28.6,2,
2017-04-20,36.0,42.3,31.6,28.6,1,
2017-04-21,36.9,41.9,32.2,28.6,1,
2017-04-22,38.3,42.6,35.6,28.6,0,
2017-04-23,37.9,42.6,35.2,28.6,0,
2017-04-24,36.7,38.5,33.6,28.6,0,
2017-04-25,35.2,39.9,33.3,28.9,0,
2017-04-26,36.3,41.9,32.9,28.9,0,
2017-04-27,36.3,43.3,32.7,28.9,0,
2017-04-28,34.7,39.0,32.0,28.9,0,
2017-04-29,35.8,42.4,30.9,29.0,0,
2017-04-30,33.4,38.5,31.6,29.0,0,
2017-05-01,33.4,38.8,30.6,29.1,0,
2017-05-02,34.7,39.4,30.6,29.4,0,
2017-05-03,38.3,41.9,35.4,29.4,0,
2017-05-04,38.3,45.5,32.7,29.5,0,
2017-05-05,38.1,45.5,30.9,29.5,0,
2017-05-06,37.4,41.0,34.7,29.5,0,
2017-05-07,35.4,37.0,32.9,29.6,0,
2017-05-08,36.9,43.3,33.4,30.0,0,
2017-05-09,38.1,46.4,32.4,30.0,0,
2017-05-10,43.5,52.5,33.6,30.0,0,
2017-05-11,48.7,57.0,41.4,30.0,0,
2017-05-12,46.6,56.5,37.6,30.0,0,
2017-05-13,37.4,42.3,33.1,30.0,0,
2017-05-14,41.5,52.5,32.4,30.1,0,
2017-05-15,48.9,58.8,41.5,30.1,0,
2017-05-16,41.9,47.7,36.9,30.1,0,
2017-05-17,37.8,42.1,35.2,30.2,0,
2017-05-18,36.9,42.4,32.7,30.2,0,
2017-05-19,36.9,43.5,32.4,30.4,0,
2017-05-20,39.7,45.9,34.2,30.4,0,
2017-05-21,37.2,40.5,35.4,30.4,0,
2017-05-22,41.5,45.7,36.1,30.7,0,
2017-05-23,40.1,47.7,34.7,30.7,0,
2017-05-24,38.8,46.6,34.7,30.7,0,
2017-05-25,37.4,43.3,33.3,31.0,0,
2017-05-26,35.1,41.5,30.6,31.0,0,
2017-05-27,34.3,37.9,31.5,31.4,0,
2017-05-28,35.1,39.2,32.5,31.7,0,
2017-05-29,38.5,47.5,33.1,33.0,0,
2017-05-30,43.9,55.8,32.7,33.0,0,
2017-05-31,51.8,62.4,41.2,33.0,0,
2017-06-01,55.4,66.2,,33.0,0,
2017-06-02,50.5,58.3,45.0,33.1,0,
2017-06-03,48.7,57.0,43.3,33.1,0,
2017-06-04,44.6,50.4,41.4,33.1,0,
2017-06-05,45.3,56.3,40.6,33.1,0,
2017-06-06,43.7,49.3,37.9,33.1,0,
2017-06-07,43.5,50.5,37.9,33.6,0,
2017-06-08,48.6,56.3,42.1,33.8,0,
2017-06-09,51.3,55.2,44.4,33.8,0,
2017-06-10,44.6,47.7,40.3,34.0,0,
2017-06-11,41.7,49.1,37.9,34.0,0,
2017-06-12,41.0,50.4,36.9,34.0,0,
2017-06-13,43.3,50.9,38.1,34.1,0,
2017-06-14,43.3,47.5,39.0,34.1,0,
2017-06-15,47.8,57.6,38.8,34.1,0,
2017-06-16,51.4,62.2,42.6,34.1,0,
2017-06-17,45.7,52.5,39.0,34.1,0,
2017-06-18,44.1,52.5,37.8,34.1,0,
2017-06-19,45.7,57.9,36.7,34.1,0,
2017-06-20,44.2,49.6,41.7,34.1,0,
2017-06-21,45.3,47.8,42.3,34.2,0,
2017-06-22,46.9,54.1,42.6,34.3,0,
2017-06-23,46.9,55.6,41.0,34.3,0,
2017-06-24,50.7,61.0,41.4,34.3,0,
2017-06-25,55.4,63.9,45.9,34.3,0,
2017-06-26,45.0,51.1,41.7,34.3,0,
2017-06-27,45.9,47.5,44.4,34.3,0,
2017-06-28,46.4,50.5,44.4,34.4,0,
2017-06-29,46.2,50.5,44.4,34.4,0,
2017-06-30,48.9,54.7,44.8,34.5,0,
2017-07-01,48.9,55.2,45.7,34.5,0,
2017-07-02,47.7,54.5,44.6,34.5,0,
2017-07-03,46.6,53.2,43.7,34.5,0,
2017-07-04,49.1,56.5,43.5,34.6,0,
2017-07-05,55.2,64.9,46.8,34.6,0,
2017-07-06,52.7,60.1,47.7,34.6,0,
2017-07-07,50.5,60.4,45.3,34.6,0,
2017-07-08,47.5,54.0,43.3,34.6,0,
2017-07-09,45.0,49.3,41.4,34.6,0,
2017-07-10,46.8,54.3,42.8,34.7,0,
2017-07-11,52.3,61.0,42.3,34.7,0,
2017-07-12,54.7,63.0,46.4,34.7,0,
2017-07-13,63.9,71.6,54.1,34.7,0,
2017-07-14,52.5,60.1,49.8,34.7,0,
2017-07-15,51.3,58.6,46.2,35.6,0,
2017-07-16,50.2,60.1,42.3,35.6,0,
2017-07-17,50.2,56.3,47.1,35.7,0,
2017-07-18,48.4,49.8,46.6,35.7,0,
2017-07-19,48.7,50.9,46.9,35.9,0,
2017-07-20,51.3,57.6,47.7,35.9,0,
2017-07-21,53.4,62.2,48.4,35.9,0,
2017-07-22,60.1,70.5,49.6,35.9,0,
2017-07-23,58.3,66.9,48.6,35.9,0,
2017-07-24,52.3,60.3,47.7,35.9,0,
2017-07-25,49.8,57.4,45.9,35.9,0,
2017-07-26,49.3,51.4,47.1,35.9,0,
2017-07-27,52.5,60.4,47.7,35.9,0,
2017-07-28,50.7,59.4,48.0,35.9,0,
2017-07-29,54.3,62.8,48.4,35.9,0,
2017-07-30,54.7,61.5,47.5,35.9,0,
2017-07-31,52.2,57.2,46.6,35.9,0,
2017-08-01,51.3,54.0,48.7,35.9,0,
2017-08-02,52.7,58.3,49.3,35.9,0,
2017-08-03,51.1,54.3,47.7,35.9,0,
2017-08-04,55.2,63.0,46.9,35.9,0,
2017-08-05,59.4,66.7,52.3,35.9,0,
2017-08-06,57.2,65.3,48.7,35.9,0,
2017-08-07,51.1,54.9,47.5,35.9,0,
2017-08-08,52.5,54.3,50.7,35.9,0,
2017-08-09,51.3,54.7,46.8,35.9,0,
2017-08-10,48.7,56.1,45.3,36.4,0,
2017-08-11,47.1,51.4,44.4,36.4,0,
2017-08-12,49.1,55.4,43.9,36.5,0,
2017-08-13,45.7,53.1,41.2,36.6,0,
2017-08-14,48.6,57.4,41.7,36.7,0,
2017-08-15,48.7,56.7,44.2,36.7,0,
2017-08-16,44.2,47.5,41.4,36.8,0,
2017-08-17,44.2,50.5,40.5,36.9,0,
2017-08-18,44.4,47.5,41.4,36.9,0,
2017-08-19,47.1,57.2,42.6,37.0,0,
2017-08-20,45.7,47.7,43.9,37.0,0,
2017-08-21,46.8,49.6,44.4,37.4,0,
2017-08-22,51.4,58.6,46.9,37.6,0,
2017-08-23,50.4,53.6,46.0,37.6,0,
2017-08-24,48.0,50.4,46.4,37.6,0,
2017-08-25,48.6,52.5,46.6,37.6,0,
2017-08-26,46.4,50.5,42.4,37.7,0,
2017-08-27,47.1,54.7,42.3,37.8,0,
2017-08-28,47.1,51.3,45.0,37.8,0,
2017-08-29,48.6,52.9,45.7,37.9,0,
2017-08-30,45.7,47.7,43.5,39.0,0,
2017-08-31,45.7,51.3,40.5,39.8,0,
2017-09-01,41.5,46.2,38.5,40.4,0,
2017-09-02,41.9,45.7,38.5,40.6,0,
2017-09-03,43.7,49.1,40.5,40.8,0,
2017-09-04,46.2,49.1,44.6,42.4,0,
2017-09-05,46.0,52.5,43.5,42.9,0,
2017-09-06,45.5,47.5,41.7,43.6,0,
2017-09-07,44.4,49.3,41.5,45.2,0,
2017-09-08,45.7,50.5,41.9,45.3,0,
2017-09-09,44.8,50.5,40.3,45.3,0,
2017-09-10,45.3,49.8,42.3,46.0,0,
2017-09-11,44.6,49.6,39.2,46.0,0,
2017-09-12,44.2,47.1,40.3,46.0,0,
2017-09-13,45.0,47.7,42.6,46.3,0,
2017-09-14,43.7,45.7,42.1,46.7,0,
2017-09-15,43.5,46.9,41.0,47.7,0,
2017-09-16,43.5,47.1,40.6,48.1,0,
2017-09-17,45.5,52.3,39.6,48.5,0,
2017-09-18,43.3,47.1,40.3,48.5,0,
2017-09-19,44.2,50.5,39.6,48.7,0,
2017-09-20,45.3,52.3,39.2,48.7,0,
2017-09-21,43.9,46.0,41.4,48.7,0,
2017-09-22,45.5,48.6,43.9,48.9,0,
2017-09-23,46.6,49.1,44.4,49.0,0,
2017-09-24,43.2,48.7,39.2,50.5,0,
2017-09-25,39.6,45.0,36.0,51.0,0,
2017-09-26,42.3,49.8,37.2,51.0,0,
2017-09-27,46.6,52.3,42.1,51.0,0,
2017-09-28,45.7,51.4,43.9,51.3,0,
2017-09-29,44.2,47.8,41.0,51.4,0,
2017-09-30,44.8,51.8,39.0,51.4,0,
2017-10-01,42.4,45.5,39.9,0.0,0,
2017-10-02,45.5,50.0,41.0,1.0,0,
2017-10-03,42.1,44.8,40.6,2.1,0,
2017-10-04,42.8,46.4,39.7,2.2,0,
2017-10-05,39.4,44.8,34.3,2.4,0,
2017-10-06,40.1,44.2,36.3,2.9,0,
2017-10-07,40.1,46.2,32.7,2.9,0,
2017-10-08,36.7,39.9,33.6,3.8,0,
2017-10-09,39.6,44.2,35.1,4.6,0,
2017-10-10,40.1,43.2,39.4,4.6,0,
2017-10-11,41.0,48.0,36.9,4.6,0,
2017-10-12,41.5,43.9,37.6,4.6,0,
2017-10-13,38.1,40.5,36.9,4.8,0,
2017-10-14,35.1,39.4,29.7,4.8,0,
2017-10-15,32.4,35.8,29.1,4.9,0,
2017-10-16,30.7,34.9,25.0,4.9,0,
2017-10-17,29.7,37.8,24.4,4.9,0,
2017-10-18,26.1,30.6,21.7,4.9,0,
2017-10-19,23.0,27.7,18.1,4.9,0,
2017-10-20,20.3,26.8,15.1,4.9,0,
2017-10-21,21.6,28.4,18.3,4.9,2,
2017-10-22,25.3,31.8,18.7,4.9,1,
2017-10-23,29.7,36.1,26.2,5.0,1,
2017-10-24,32.0,35.8,26.8,5.3,3,
2017-10-25,38.1,43.3,31.5,6.0,7,
2017-10-26,39.0,43.3,34.5,8.0,3,
2017-10-27,38.1,41.9,34.9,10.1,0,
2017-10-28,37.4,40.3,35.4,10.3,0,
2017-10-29,37.9,41.9,33.3,10.4,0,
2017-10-30,41.2,43.7,39.0,10.8,0,
2017-10-31,38.8,45.3,33.6,11.0,1,
2017-11-01,41.5,52.7,32.7,11.1,2,
2017-11-02,43.5,50.0,33.4,11.1,2,
2017-11-03,36.1,43.7,29.7,11.1,2,
2017-11-04,37.0,43.9,29.8,11.1,1,
2017-11-05,30.0,35.1,25.5,11.1,1,
2017-11-06,27.1,34.9,21.4,11.4,0,
2017-11-07,30.4,39.7,21.6,11.4,2,
2017-11-08,31.3,34.9,27.1,11.4,2,
2017-11-09,28.8,35.1,21.9,11.5,1,
2017-11-10,21.6,24.8,18.7,11.5,3,
2017-11-11,21.0,30.9,15.3,11.5,2,
2017-11-12,27.5,35.2,17.8,11.6,3,
2017-11-13,24.4,28.8,19.6,11.6,2,
2017-11-14,26.2,37.2,19.6,11.6,1,
2017-11-15,24.8,32.5,18.7,11.6,1,
2017-11-16,27.3,30.6,24.4,11.6,1,
2017-11-17,26.2,30.0,20.7,11.6,2,
2017-11-18,22.1,27.7,16.2,11.6,2,
2017-11-19,22.6,27.1,14.4,11.6,2,
2017-11-20,17.8,24.4,14.0,11.8,4,
2017-11-21,22.1,27.5,15.3,11.8,1,
2017-11-22,19.9,23.5,15.8,11.8,0,
2017-11-23,18.7,23.5,10.8,11.8,0,
2017-11-24,15.6,18.7,13.5,11.9,1,
2017-11-25,11.5,17.2,7.7,11.9,1,
2017-11-26,21.0,27.1,9.7,11.9,1,
2017-11-27,30.0,32.9,25.7,11.9,1,
2017-11-28,32.0,33.8,30.2,12.2,3,
2017-11-29,30.2,32.4,28.9,12.5,6,
2017-11-30,30.6,35.6,27.3,12.8,13,
2017-12-01,30.2,35.2,26.1,13.0,12,
2017-12-02,34.5,39.0,30.0,13.0,11,
2017-12-03,34.9,37.8,32.5,13.2,11,
2017-12-04,32.9,37.6,28.9,14.8,10,
2017-12-05,32.7,36.9,30.6,15.6,11,
2017-12-06,29.1,38.3,25.2,16.1,16,
2017-12-07,35.6,41.4,31.5,16.1,15,
2017-12-08,34.7,36.3,32.7,16.8,12,
2017-12-09,37.6,41.7,32.9,16.8,12,
2017-12-10,34.9,36.9,32.9,16.9,13,
2017-12-11,35.1,37.6,33.1,18.9,13,
2017-12-12,35.2,40.3,31.8,20.4,15,
2017-12-13,35.2,42.4,31.5,21.1,15,
2017-12-14,29.8,33.6,27.1,22.8,14,
2017-12-15,31.3,36.1,28.0,22.8,14,
2017-12-16,30.4,32.7,27.3,23.5,14,
2017-12-17,28.0,35.1,22.5,23.5,14,
2017-12-18,25.7,29.8,21.7,23.5,14,
2017-12-19,32.2,36.9,26.8,23.5,14,
2017-12-20,28.4,30.0,24.4,23.5,14,
2017-12-21,28.9,31.8,25.5,23.5,14,
2017-12-22,32.7,35.6,30.9,23.5,14,
2017-12-23,33.4,37.4,30.6,23.5,14,
2017-12-24,31.8,33.4,30.0,23.6,14,
2017-12-25,29.8,32.7,27.3,23.7,15,
2017-12-26,24.4,28.8,18.3,23.7,15,
2017-12-27,24.1,29.8,20.8,23.7,14,
2017-12-28,24.8,31.8,21.2,23.7,14,
2017-12-29,25.9,29.5,22.5,23.7,14,
2017-12-30,28.6,30.9,26.8,23.8,14,
2017-12-31,30.6,33.8,28.0,24.1,16,
2018-01-01,32.9,38.8,29.5,24.8,28,
2018-01-02,33.6,35.6,32.0,25.4,26,
2018-01-03,30.0,33.1,27.0,26.5,26,
2018-01-04,24.1,29.1,19.4,26.8,28,
2018-01-05,27.0,33.6,19.0,26.8,28,
2018-01-06,31.8,34.2,29.1,26.8,27,
2018-01-07,30.7,37.6,25.9,26.8,26,
